type dayOfWeek location
"Aid Response" 0 "(47.612715999999999, -122.345399)"
"Aid Response" 0 "(47.661354000000003, -122.327027)"
"Aid Response" 0 "(47.588026999999997, -122.38627700000001)"
"Auto Fire Alarm" 0 "(47.604993999999998, -122.338048)"
"Medic Response" 0 "(47.675781000000001, -122.30871399999999)"
"Medic Response" 0 "(47.636465000000001, -122.367672)"
"Aid Response Yellow" 0 "(47.674663000000002, -122.323407)"
"Auto Fire Alarm" 0 "(47.659910000000004, -122.316615)"
"Medic Response" 0 "(47.622089000000003, -122.351371)"
"Aid Response" 0 "(47.660984999999997, -122.346958)"
"""Hang-Up" 0 "(47.681178000000003, -122.346954)"
"Rescue Elevator" 0 "(47.614279000000003, -122.315533)"
"Aid Response" 0 "(47.617562999999997, -122.322168)"
"Medic Response" 0 "(47.616342000000003, -122.32678799999999)"
"Aid Response" 0 "(47.622076999999997, -122.29846499999999)"
"Medic Response" 0 "(47.570751999999999, -122.362228)"
"Aid Response" 0 "(47.612907999999997, -122.311474)"
"Medic Response" 0 "(47.672198999999999, -122.401099)"
"Aid Response" 0 "(47.719638000000003, -122.35553899999999)"
"Medic Response" 0 "(47.572163000000003, -122.296173)"
"Aid Response" 0 "(47.657528999999997, -122.313228)"
"Motor Vehicle Accident Freeway" 0 "(47.623235000000001, -122.34356699999999)"
"Aid Response" 0 "(47.611553000000001, -122.31147900000001)"
"Medic Response" 0 "(47.602984999999997, -122.328535)"
"Trans to AMR" 0 "(47.643237999999997, -122.35173899999999)"
"Aid Response" 0 "(47.618693, -122.334256)"
"Trans to AMR" 0 "(47.561926, -122.376204)"
"Aid Response" 0 "(47.534478, -122.269989)"
"Aid Response" 0 "(47.609088999999997, -122.32337699999999)"
"Auto Fire Alarm" 0 "(47.535387, -122.267284)"
"Aid Response" 0 "(47.679484000000002, -122.395844)"
"Medic Response" 0 "(47.681497999999998, -122.269595)"
"Aid Response" 0 "(47.648045000000003, -122.33635099999999)"
"Motor Vehicle Accident" 0 "(47.567923, -122.285051)"
"Aid Response" 0 "(47.609814, -122.34092200000001)"
"Aid Response" 0 "(47.610002999999999, -122.338025)"
"Aid Response" 0 "(47.686673999999996, -122.30086900000001)"
"Aid Response" 0 "(47.686673999999996, -122.30086900000001)"
"Medic Response" 0 "(47.588414, -122.309467)"
"Aid Response" 0 "(47.657516000000001, -122.31879600000001)"
"Medic Response" 0 "(47.561141999999997, -122.38145900000001)"
"Aid Response" 0 "(47.658963999999997, -122.31319000000001)"
"Aid Response" 0 "(47.619714000000002, -122.340847)"
"Aid Response" 0 "(47.608584, -122.340581)"
"Aid Response" 0 "(47.721359, -122.296339)"
"Aid Response" 0 "(47.611677, -122.33341900000001)"
"Auto Fire Alarm" 0 "(47.709488, -122.323301)"
"Natural Gas Odor" 0 "(47.730969999999999, -122.33859699999999)"
"Aid Response" 0 "(47.626331, -122.291977)"
"Medic Response" 0 "(47.615391000000002, -122.349498)"
"Automatic Fire Alarm False" 0 "(47.639709000000003, -122.410922)"
"Aid Response" 0 "(47.611942999999997, -122.325987)"
"Aid Response" 0 "(47.719276999999998, -122.294962)"
"Medic Response" 0 "(47.619723999999998, -122.34348199999999)"
"Aid Response" 0 "(47.573731000000002, -122.372236)"
"Aid Response" 0 "(47.613036999999998, -122.326981)"
"""Medic Response" 0 "(47.613134000000002, -122.340152)"
"Trans to AMR" 0 "(47.551937000000002, -122.280445)"
"Auto Fire Alarm" 0 "(47.581887999999999, -122.33512500000001)"
"Aid Response" 0 "(47.654145999999997, -122.360063)"
"Aid Response" 0 "(47.611942999999997, -122.325987)"
"Medic Response" 0 "(47.509596999999999, -122.37462499999999)"
"Aid Response" 0 "(47.602984999999997, -122.328535)"
"Aid Response" 0 "(47.611942999999997, -122.325987)"
"Aid Response" 0 "(47.601717999999998, -122.33658200000001)"
"Aid Response" 0 "(47.596485999999999, -122.32904600000001)"
"""Hang-Up" 0 "(47.599967999999997, -122.328965)"
"Aid Response" 0 "(47.602172000000003, -122.33086299999999)"
"Aid Response" 0 "(47.614787999999997, -122.342952)"
"Aid Response" 0 "(47.609338000000001, -122.32513899999999)"
"Aid Response" 0 "(47.568649999999998, -122.31344799999999)"
"Medic Response" 0 "(47.608966000000002, -122.34168200000001)"
"Medic Response" 0 "(47.536144, -122.282358)"
"Aid Response" 0 "(47.709994999999999, -122.32295999999999)"
"Aid Response" 0 "(47.614828000000003, -122.343019)"
"Automatic Medical Alarm" 0 "(47.608795999999998, -122.329251)"
"Aid Response" 0 "(47.720920999999997, -122.28295300000001)"
"Aid Response" 0 "(47.619928999999999, -122.317927)"
"Rescue Lock In/Out" 0 "(47.626285000000003, -122.348596)"
"Aid Response" 0 "(47.609343000000003, -122.32512800000001)"
"Medic Response" 0 "(47.545726000000002, -122.369584)"
"Aid Response" 0 "(47.617474000000001, -122.345512)"
"Medic Response" 0 "(47.658298000000002, -122.31778199999999)"
"Aid Response" 0 "(47.611173000000001, -122.34477200000001)"
"Aid Response" 0 "(47.539749, -122.322441)"
"Medic Response" 0 "(47.612727999999997, -122.333956)"
"Aid Response" 0 "(47.610742999999999, -122.338702)"
"Trans to AMR" 0 "(47.619807000000002, -122.35283)"
"Aid Response" 0 "(47.633074000000001, -122.325824)"
"Medic Response" 0 "(47.538479000000002, -122.276702)"
"Aid Response" 0 "(47.602172000000003, -122.33086299999999)"
"Medic Response" 0 "(47.681559, -122.27902400000001)"
"Medic Response" 0 "(47.560119, -122.385486)"
"Aid Response" 0 "(47.539802999999999, -122.269756)"
"Aid Response" 0 "(47.641207000000001, -122.34647099999999)"
"Trans to AMR" 0 "(47.661318000000001, -122.320611)"
"Trans to AMR" 0 "(47.715829999999997, -122.318021)"
"Aid Response" 0 "(47.719543999999999, -122.29507599999999)"
"Medic Response" 0 "(47.72343, -122.34816499999999)"
"Assault w/Weap 7 per Rule" 0 "(47.560991999999999, -122.38545999999999)"
"Aid Response" 0 "(47.649780999999997, -122.357692)"
"Automatic Fire Alarm Resd" 0 "(47.679594999999999, -122.398385)"
"Medic Response" 0 "(47.618575999999997, -122.34892499999999)"
"Aid Response Yellow" 0 "(47.616950000000003, -122.35256099999999)"
"Aid Response" 0 "(47.614431000000003, -122.320786)"
"Medic Response" 0 "(47.547311999999998, -122.27814499999999)"
"Fire in Single Family Res" 0 "(47.614091000000002, -122.287082)"
"Medic Response" 0 "(47.581214000000003, -122.391903)"
"Trans to AMR" 0 "(47.611556999999998, -122.330191)"
"Medic Response" 0 "(47.678556, -122.326837)"
"Medic Response" 0 "(47.581214000000003, -122.391903)"
"Auto Fire Alarm" 0 "(47.615282999999998, -122.314091)"
"Aid Response" 0 "(47.563507000000001, -122.324034)"
"Rescue Elevator" 0 "(47.667994999999998, -122.299554)"
"Medic Response" 0 "(47.643546000000001, -122.388937)"
"Aid Response" 0 "(47.510176000000001, -122.273398)"
"Aid Response" 0 "(47.520147000000001, -122.26971899999999)"
"Aid Response" 0 "(47.587882, -122.32139100000001)"
"Medic Response" 0 "(47.560074, -122.30479099999999)"
"Aid Response" 0 "(47.569828999999999, -122.388104)"
"Trans to AMR" 1 "(47.712305000000001, -122.339596)"
"Auto Fire Alarm" 1 "(47.591453999999999, -122.31728099999999)"
"Medic Response" 1 "(47.609160000000003, -122.33264)"
"Aid Response" 1 "(47.670912000000001, -122.384743)"
"Aid Response" 1 "(47.613011, -122.326948)"
"Aid Response" 1 "(47.631377999999998, -122.35920299999999)"
"Medic Response" 1 "(47.719433000000002, -122.29273000000001)"
"Medic Response" 1 "(47.573784000000003, -122.308819)"
"Aid Response" 1 "(47.606337000000003, -122.334672)"
"Aid Response" 1 "(47.681803000000002, -122.349661)"
"Auto Fire Alarm" 1 "(47.609383000000001, -122.33592299999999)"
"Medic Response" 1 "(47.716389999999997, -122.358221)"
"Aid Response" 1 "(47.723571, -122.344981)"
"Motor Vehicle Accident Freeway" 1 "(47.630274999999997, -122.326301)"
"Aid Response" 1 "(47.615689000000003, -122.35240899999999)"
"Aid Response" 1 "(47.559901000000004, -122.316085)"
"Medic Response" 1 "(47.557395999999997, -122.39360600000001)"
"Aid Response" 1 "(47.58117, -122.383264)"
"Medic Response" 1 "(47.602172000000003, -122.33086299999999)"
"Aid Response" 1 "(47.616402999999998, -122.32081700000001)"
"Aid Response" 1 "(47.569116999999999, -122.296982)"
"Aid Response" 1 "(47.544573, -122.376448)"
"Motor Vehicle Accident" 1 "(47.574384000000002, -122.329059)"
"Trans to AMR" 1 "(47.641207000000001, -122.28452799999999)"
"Motor Vehicle Accident" 1 "(47.618549999999999, -122.34240200000001)"
"Aid Response" 1 "(47.648553999999997, -122.364891)"
"Aid Response" 1 "(47.698824999999999, -122.34462000000001)"
"Aid Response" 1 "(47.701756000000003, -122.335022)"
"Medic Response" 1 "(47.641241999999998, -122.281362)"
"Medic Response" 1 "(47.602984999999997, -122.328535)"
"""Hang-Up" 1 "(47.612625999999999, -122.34127700000001)"
"Medic Response" 1 "(47.573182000000003, -122.386763)"
"Aid Response" 1 "(47.616804000000002, -122.324493)"
"Trans to AMR" 1 "(47.54439, -122.385758)"
"Aid Response" 1 "(47.537953999999999, -122.361092)"
"Aid Response" 1 "(47.567892999999998, -122.290446)"
"Aid Response" 1 "(47.616348000000002, -122.324487)"
"Trans to AMR" 1 "(47.600881000000001, -122.335976)"
"Medic Response" 1 "(47.553310000000003, -122.313474)"
"Aid Response" 1 "(47.663105999999999, -122.315263)"
"Medic Response" 1 "(47.725503000000003, -122.355552)"
"Aid Response" 1 "(47.701422999999998, -122.34192899999999)"
"Aid Response" 1 "(47.688426, -122.28622799999999)"
"Automatic Fire Alarm Resd" 1 "(47.508785000000003, -122.26983199999999)"
"""Mutual Aid" 1 "(47.746341999999999, -122.31444)"
"Auto Fire Alarm" 1 "(47.604263000000003, -122.332774)"
"Aid Response Yellow" 1 "(47.605829, -122.32645599999999)"
"Aid Response" 1 "(47.673048000000001, -122.392977)"
"Auto Fire Alarm" 1 "(47.614089999999997, -122.337592)"
"Medic Response" 1 "(47.600878000000002, -122.331215)"
"Aid Response" 1 "(47.617173000000001, -122.33310299999999)"
"Aid Response" 1 "(47.598348999999999, -122.323294)"
"Aid Response" 1 "(47.608657999999998, -122.32912399999999)"
"Medic Response" 1 "(47.599071000000002, -122.33157799999999)"
"Medic Response" 1 "(47.676048000000002, -122.30382)"
"Aid Response" 1 "(47.592393999999999, -122.329049)"
"Trans to AMR" 1 "(47.626221000000001, -122.32919800000001)"
"Rubbish Fire" 1 "(47.611066000000001, -122.340625)"
"Aid Response" 1 "(47.610154999999999, -122.333545)"
"Aid Response" 1 "(47.575887999999999, -122.409437)"
"Medic Response" 1 "(47.667313999999998, -122.319526)"
"Aid Response" 1 "(47.612889000000003, -122.316733)"
"Aid Response" 1 "(47.586171999999998, -122.31728)"
"Trans to AMR" 1 "(47.604553000000003, -122.303731)"
"Aid Response" 1 "(47.582481000000001, -122.31209200000001)"
"Medic Response" 1 "(47.641207000000001, -122.34647099999999)"
"Aid Response" 1 "(47.664392999999997, -122.28335300000001)"
"Aid Response" 1 "(47.601714000000001, -122.327656)"
"Aid Response" 1 "(47.652299999999997, -122.27940700000001)"
"Aid Response" 1 "(47.679461000000003, -122.322756)"
"Aid Response" 1 "(47.698678000000001, -122.33505)"
"Motor Vehicle Accident" 1 "(47.533728000000004, -122.372564)"
"Motor Vehicle Accident" 1 "(47.542476000000001, -122.272808)"
"Aid Response" 1 "(47.622174000000001, -122.320909)"
"Illegal Burn" 1 "(47.625393000000003, -122.339735)"
"Aid Response" 1 "(47.601714000000001, -122.327656)"
"Aid Response" 1 "(47.701324999999997, -122.323127)"
"Medic Response" 1 "(47.594149999999999, -122.32905)"
"Aid Response" 1 "(47.667119, -122.29836)"
"Aid Response" 1 "(47.617637999999999, -122.329925)"
"""Hang-Up" 1 "(47.613930000000003, -122.327805)"
"Aid Response" 1 "(47.638013000000001, -122.37032499999999)"
"Automatic Fire Alarm Resd" 1 "(47.526114999999997, -122.285749)"
"Aid Response" 1 "(47.539866000000004, -122.35724500000001)"
"Auto Fire Alarm" 1 "(47.670912999999999, -122.385203)"
"Aid Response" 1 "(47.612397999999999, -122.340892)"
"Medic Response" 1 "(47.668548000000001, -122.31074599999999)"
"Aid Response" 1 "(47.601714000000001, -122.327656)"
"Aid Response" 1 "(47.543019000000001, -122.385789)"
"Motor Vehicle Accident" 1 "(47.564500000000002, -122.339439)"
"Aid Response" 1 "(47.665908999999999, -122.384078)"
"Medic Response" 1 "(47.601649000000002, -122.302324)"
"Investigate Out Of Service" 1 "(47.578453000000003, -122.313354)"
"Aid Response" 1 "(47.67595, -122.329611)"
"Aid Response" 1 "(47.622045999999997, -122.32090700000001)"
"""Hang-Up" 1 "(47.608761000000001, -122.33687399999999)"
"Aid Response" 1 "(47.548231000000001, -122.376372)"
"Aid Response" 1 "(47.604841, -122.32409699999999)"
"Aid Response" 1 "(47.566383000000002, -122.389449)"
"Fire in Building" 1 "(47.715549000000003, -122.29285299999999)"
"Medic Response" 1 "(47.538882000000001, -122.284082)"
"Medic Response" 1 "(47.709637999999998, -122.325982)"
"Aid Response" 1 "(47.607390000000002, -122.332564)"
"Aid Response" 1 "(47.603549000000001, -122.332122)"
"Aid Response" 1 "(47.727704000000003, -122.325084)"
"Aid Response" 1 "(47.602114, -122.330809)"
"Medic Response" 1 "(47.613466000000003, -122.328913)"
"1RED 1 Unit" 1 "(47.702160999999997, -122.346901)"
"Aid Response" 1 "(47.597405999999999, -122.317228)"
"Medic Response" 1 "(47.624583000000001, -122.356709)"
"Automatic Fire Alarm Resd" 1 "(47.633361000000001, -122.279903)"
"Aid Response" 1 "(47.612625999999999, -122.34127700000001)"
"Aid Response" 1 "(47.600194000000002, -122.330541)"
"Auto Fire Alarm" 1 "(47.622700000000002, -122.285828)"
"Aid Response" 1 "(47.662866000000001, -122.338756)"
"Aid Response" 1 "(47.657426000000001, -122.309724)"
"""Hang-Up" 1 "(47.566271, -122.29695599999999)"
"Aid Response" 1 "(47.686860000000003, -122.322952)"
"1RED 1 Unit" 1 "(47.602601999999997, -122.33416800000001)"
"Aid Response" 1 "(47.668678, -122.384829)"
"Medic Response" 1 "(47.513547000000003, -122.391121)"
"Rescue Elevator" 1 "(47.599201999999998, -122.294944)"
"Automatic Fire Alarm Resd" 1 "(47.675798999999998, -122.28699)"
"Aid Response" 1 "(47.540683000000001, -122.286131)"
"Aid Response" 1 "(47.699744000000003, -122.338756)"
"Medic Response" 1 "(47.520795, -122.273391)"
"Trans to AMR" 1 "(47.602114, -122.330809)"
"Medic Response" 1 "(47.717759000000001, -122.283168)"
"Medic Response" 1 "(47.518000999999998, -122.34797399999999)"
"Aid Response" 1 "(47.731110999999999, -122.281944)"
"Medic Response" 1 "(47.562733999999999, -122.28277799999999)"
"Aid Response" 1 "(47.675794000000003, -122.31309400000001)"
"Aid Response" 1 "(47.554183999999999, -122.337417)"
"Aid Response" 1 "(47.725503000000003, -122.355552)"
"Aid Response" 1 "(47.642029999999998, -122.324675)"
"Aid Response" 1 "(47.568047, -122.32267299999999)"
"Aid Response" 1 "(47.598348000000001, -122.320763)"
"Medic Response" 1 "(47.723436, -122.355547)"
"Aid Response" 1 "(47.703220000000002, -122.33390300000001)"
"Trans to AMR" 1 "(47.556784999999998, -122.286143)"
"Aid Response" 1 "(47.614787999999997, -122.342952)"
"Car Fire W/Exp." 1 "(47.529845999999999, -122.32702999999999)"
"""Medic Response" 1 "(47.623384999999999, -122.32092799999999)"
"Aid Response" 1 "(47.626322000000002, -122.34886299999999)"
"Medic Response" 1 "(47.615780999999998, -122.334715)"
"Aid Response" 1 "(47.615659000000001, -122.31816600000001)"
"Medic Response" 1 "(47.523055999999997, -122.319795)"
"Aid Response" 1 "(47.649545000000003, -122.360883)"
"Aid Response" 1 "(47.602114, -122.330809)"
"Motor Vehicle Accident" 1 "(47.536957999999998, -122.270274)"
"Auto Fire Alarm" 1 "(47.615780999999998, -122.334715)"
"Automatic Fire Alarm Resd" 1 "(47.582664000000001, -122.313396)"
"Automatic Fire Alarm Resd" 1 "(47.667231999999998, -122.319526)"
"Aid Response" 1 "(47.729590000000002, -122.350769)"
"Auto Fire Alarm" 1 "(47.619677000000003, -122.311397)"
"Investigate Out Of Service" 1 "(47.602172000000003, -122.33086299999999)"
"Aid Response" 1 "(47.607762999999998, -122.335976)"
"Aid Response" 1 "(47.612492000000003, -122.34105099999999)"
"Aid Response" 1 "(47.612625999999999, -122.34127700000001)"
"""Hang-Up" 1 "(47.620615999999998, -122.307348)"
"Aid Response" 1 "(47.661203999999998, -122.297647)"
"Aid Response" 1 "(47.611786000000002, -122.33985699999999)"
"Aid Response" 1 "(47.610550000000003, -122.329318)"
"Aid Response Yellow" 1 "(47.511111, -122.243611)"
"Aid Response" 1 "(47.658523000000002, -122.355459)"
"Aid Response Yellow" 1 "(47.610742999999999, -122.338702)"
"Aid Response" 1 "(47.557057999999998, -122.29090100000001)"
"Aid Response" 1 "(47.693112999999997, -122.319604)"
"Medic Response" 1 "(47.577984000000001, -122.382081)"
"Trans to AMR" 1 "(47.651485000000001, -122.351356)"
"Aid Response" 1 "(47.652977999999997, -122.41598500000001)"
"Aid Response" 1 "(47.600042999999999, -122.33287900000001)"
"Aid Response" 1 "(47.709488, -122.323301)"
"Aid Response" 1 "(47.606121999999999, -122.33754399999999)"
"Alarm Bell" 1 "(47.637093, -122.277112)"
"Aid Response" 1 "(47.617713999999999, -122.334018)"
"Aid Response" 1 "(47.575276000000002, -122.33997599999999)"
"Auto Fire Alarm" 1 "(47.615025000000003, -122.353269)"
"Aid Response" 1 "(47.531565000000001, -122.27271500000001)"
"Medic Response" 1 "(47.708601999999999, -122.32458800000001)"
"Medic Response" 1 "(47.537157000000001, -122.361206)"
"Aid Response" 1 "(47.564095000000002, -122.288186)"
"Auto Fire Alarm" 1 "(47.591453999999999, -122.31728099999999)"
"Trans to AMR" 1 "(47.562600000000003, -122.39622)"
"Aid Response" 1 "(47.614040000000003, -122.345653)"
"Aid Response" 1 "(47.610405, -122.319357)"
"""Medic Response" 1 "(47.521594999999998, -122.264225)"
"Trans to AMR" 1 "(47.618001999999997, -122.329183)"
"Auto Fire Alarm" 1 "(47.613098000000001, -122.334718)"
"Aid Response" 1 "(47.604376999999999, -122.32520700000001)"
"Auto Fire Alarm" 1 "(47.733947000000001, -122.312326)"
"Automatic Fire Alarm False" 1 "(47.528857000000002, -122.269987)"
"Aid Response" 1 "(47.618566000000001, -122.346316)"
"Aid Response" 1 "(47.602172000000003, -122.33086299999999)"
"Medic Response" 1 "(47.602984999999997, -122.328535)"
"Auto Fire Alarm" 1 "(47.652521, -122.314517)"
"Medic Response" 1 "(47.574238999999999, -122.306071)"
"Car Fire" 1 "(47.661349000000001, -122.326179)"
"Auto Fire Alarm" 1 "(47.609402000000003, -122.332864)"
"Aid Response" 1 "(47.712305999999998, -122.339738)"
"Medic Response" 1 "(47.573996999999999, -122.303352)"
"Alarm Bell" 1 "(47.648654999999998, -122.383359)"
"Aid Response" 1 "(47.589942000000001, -122.314853)"
"Aid Response" 1 "(47.534478, -122.269989)"
"1RED 1 Unit" 1 "(47.547657999999998, -122.286326)"
"Aid Response" 1 "(47.599192000000002, -122.325681)"
"Aid Response" 1 "(47.609827000000003, -122.334796)"
"Medic Response" 1 "(47.722898999999998, -122.293194)"
"Aid Response" 1 "(47.665731000000001, -122.327849)"
"Aid Response" 1 "(47.609240999999997, -122.320757)"
"Aid Response" 1 "(47.726643000000003, -122.312072)"
"Aid Response" 1 "(47.691794999999999, -122.332408)"
"Water Job Minor" 1 "(47.540722000000002, -122.294584)"
"Medic Response" 1 "(47.690609000000002, -122.376806)"
"Aid Response" 1 "(47.544871999999998, -122.387215)"
"Aid Response" 1 "(47.606121999999999, -122.33754399999999)"
"Motor Vehicle Accident" 2 "(47.543404000000002, -122.319104)"
"Automatic Medical Alarm" 2 "(47.559168999999997, -122.276971)"
"Aid Response" 2 "(47.552151000000002, -122.38999)"
"Aid Response" 2 "(47.628509000000001, -122.373092)"
"Medic Response" 2 "(47.683933000000003, -122.26387200000001)"
"Aid Response" 2 "(47.728572, -122.312676)"
"Medic Response" 2 "(47.526519, -122.353345)"
"Aid Response Yellow" 2 "(47.72343, -122.34816499999999)"
"Aid Response" 2 "(47.546163999999997, -122.376408)"
"Aid Response" 2 "(47.608845000000002, -122.339956)"
"Aid Response Yellow" 2 "(47.612909999999999, -122.31519900000001)"
"Aid Response" 2 "(47.586823000000003, -122.315983)"
"Trans to AMR" 2 "(47.582822999999998, -122.300344)"
"Aid Response" 2 "(47.526465000000002, -122.32291600000001)"
"Aid Response" 2 "(47.611671999999999, -122.336484)"
"Investigate Out Of Service" 2 "(47.622140000000002, -122.362695)"
"Aid Response" 2 "(47.556206000000003, -122.282918)"
"Medic Response" 2 "(47.715829999999997, -122.318021)"
"Aid Response" 2 "(47.646146999999999, -122.34974099999999)"
"1RED 1 Unit" 2 "(47.568272, -122.408457)"
"1RED 1 Unit" 2 "(47.682592999999997, -122.32289400000001)"
"""Mutual Aid" 2 "(47.746944999999997, -122.319737)"
"Medic Response" 2 "(47.705036, -122.33393)"
"Dumpster Fire" 2 "(47.614984999999997, -122.33184)"
"Medic Response" 2 "(47.610275000000001, -122.34134299999999)"
"1RED 1 Unit" 2 "(47.73104, -122.347764)"
"Aid Response" 2 "(47.615217999999999, -122.326804)"
"Aid Response" 2 "(47.600194000000002, -122.330541)"
"Aid Response" 2 "(47.709488, -122.323301)"
"Aid Response" 2 "(47.632322000000002, -122.36054900000001)"
"Aid Response" 2 "(47.631577, -122.29765999999999)"
"Aid Response" 2 "(47.517471999999998, -122.37555500000001)"
"Aid Response" 2 "(47.631377999999998, -122.35920299999999)"
"Aid Response" 2 "(47.732778000000003, -122.296531)"
"Medic Response" 2 "(47.699257000000003, -122.325767)"
"Natural Gas Odor" 2 "(47.666719000000001, -122.310773)"
"Aid Response" 2 "(47.614390999999998, -122.338314)"
"Medic Response" 2 "(47.655445999999998, -122.312147)"
"Medic Response" 2 "(47.723244999999999, -122.35760999999999)"
"Trans to AMR" 2 "(47.618001999999997, -122.329183)"
"Medic Response" 2 "(47.603948000000003, -122.330952)"
"Aid Response" 2 "(47.511682, -122.259227)"
"Aid Response" 2 "(47.732151000000002, -122.31541799999999)"
"Aid Response" 2 "(47.610742999999999, -122.338702)"
"Trans to AMR" 2 "(47.530833000000001, -122.28067)"
"Medic Response" 2 "(47.683262999999997, -122.36601)"
"Automatic Fire Alarm Resd" 2 "(47.695256000000001, -122.287063)"
"Aid Response" 2 "(47.673923000000002, -122.272779)"
"Medic Response" 2 "(47.609940000000002, -122.3237)"
"Medic Response" 2 "(47.524321999999998, -122.369918)"
"Medic Response" 2 "(47.617927999999999, -122.35422)"
"Aid Response" 2 "(47.592104999999997, -122.31728099999999)"
"Car Fire" 2 "(47.568724000000003, -122.339074)"
"Medic Response" 2 "(47.602812999999998, -122.33144900000001)"
